0 OPEN 
8062 RULE 70cc981e905ae18e1c6074578475b6a5_ff9468014a217aab30472cc750deeb0f_6dca0d061ad727648e3fa81691a062cc_409e37b672597a8e5e19258c3da5a015_6dca0d061ad727648e3fa81691a062cc
8107 NODE 409e37b672597a8e5e19258c3da5a015_6dca0d061ad727648e3fa81691a062cc
8184 RULE 433cccb048ba21c7067c9a82da6e3286_409e37b672597a8e5e19258c3da5a015_6dca0d061ad727648e3fa81691a062cc_7e3ae59a45eb1cf44ccfb4f551521338_6dca0d061ad727648e3fa81691a062cc
8221 NODE 7e3ae59a45eb1cf44ccfb4f551521338_6dca0d061ad727648e3fa81691a062cc
8303 RULE a53a12e87c6fc763bb9ed8bd1188ff98_7e3ae59a45eb1cf44ccfb4f551521338_6dca0d061ad727648e3fa81691a062cc_18469572fdc77dff7ece848e73fcf35b_6dca0d061ad727648e3fa81691a062cc
8337 NODE 18469572fdc77dff7ece848e73fcf35b_6dca0d061ad727648e3fa81691a062cc
8404 RULE d820eb40bb79466f33bf732077f800f2_18469572fdc77dff7ece848e73fcf35b_6dca0d061ad727648e3fa81691a062cc_dde9ca45d1671cae5e28270bb0aee1e2_6dca0d061ad727648e3fa81691a062cc
8438 NODE dde9ca45d1671cae5e28270bb0aee1e2_6dca0d061ad727648e3fa81691a062cc
8512 RULE fcc932f6797bec5c4fa9a0919113472d_dde9ca45d1671cae5e28270bb0aee1e2_6dca0d061ad727648e3fa81691a062cc_5937211a64c9e5a5fcb69c6d66ea8fc3_6dca0d061ad727648e3fa81691a062cc
8548 NODE 5937211a64c9e5a5fcb69c6d66ea8fc3_6dca0d061ad727648e3fa81691a062cc
8616 RULE cea77a2f7339b0ebc29955a3edd3ade3_5937211a64c9e5a5fcb69c6d66ea8fc3_6dca0d061ad727648e3fa81691a062cc_fe5d2f1c6cc1372f592e53e7039fa0c_6dca0d061ad727648e3fa81691a062cc
8651 NODE fe5d2f1c6cc1372f592e53e7039fa0c_6dca0d061ad727648e3fa81691a062cc
8719 RULE 5c77170dd57aa6fc00c17ee3c7e78ccd_fe5d2f1c6cc1372f592e53e7039fa0c_6dca0d061ad727648e3fa81691a062cc_13913b209d4dbac669264829a248607f_6dca0d061ad727648e3fa81691a062cc
8753 NODE 13913b209d4dbac669264829a248607f_6dca0d061ad727648e3fa81691a062cc
8823 RULE 6a5377eef84531f233c8aa4f3367113_13913b209d4dbac669264829a248607f_6dca0d061ad727648e3fa81691a062cc_52ec5cdc2bf3390cfb5e83571f4a1de8_6dca0d061ad727648e3fa81691a062cc
8857 NODE 52ec5cdc2bf3390cfb5e83571f4a1de8_6dca0d061ad727648e3fa81691a062cc
8991 RULE 9f0c0400b21c4eec2974ec0b8d19ebb9_52ec5cdc2bf3390cfb5e83571f4a1de8_6dca0d061ad727648e3fa81691a062cc_a0001374eccff7236fe9be33a9dfe7cc_6dca0d061ad727648e3fa81691a062cc
9027 NODE a0001374eccff7236fe9be33a9dfe7cc_6dca0d061ad727648e3fa81691a062cc
9094 RULE 7cf2f319dd80ef1ed032483299d9306e_a0001374eccff7236fe9be33a9dfe7cc_6dca0d061ad727648e3fa81691a062cc_bf1e3d29c5f7c6ee83f991f6a9dcf51f_6dca0d061ad727648e3fa81691a062cc
9128 NODE bf1e3d29c5f7c6ee83f991f6a9dcf51f_6dca0d061ad727648e3fa81691a062cc
9195 RULE dbdc342f3d4f7725f91a0be890ef88eb_bf1e3d29c5f7c6ee83f991f6a9dcf51f_6dca0d061ad727648e3fa81691a062cc_3ca0ed067d1e531d4b025682196c53cf_6dca0d061ad727648e3fa81691a062cc
9229 NODE 3ca0ed067d1e531d4b025682196c53cf_6dca0d061ad727648e3fa81691a062cc
9296 RULE 70cc981e905ae18e1c6074578475b6a5_3ca0ed067d1e531d4b025682196c53cf_6dca0d061ad727648e3fa81691a062cc_b7018a4852d53d7b67823dfb26fcf547_6dca0d061ad727648e3fa81691a062cc
9335 NODE b7018a4852d53d7b67823dfb26fcf547_6dca0d061ad727648e3fa81691a062cc
